Name,stop_id,stop_code,stop_descr,stop_desr_,stop_stree,dierxomene
"010042: 6η ΚΟΡΥΔΑΛΛΟΥ","010042","10042",6η ΚΟΡΥΔΑΛΛΟΥ,6th KORYDALLOY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,"806, 807, 831"
"010043: 5η ΚΟΡΥΔΑΛΛΟΥ","010043","10043",5η ΚΟΡΥΔΑΛΛΟΥ,5th KORYDALLOY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,"806, 807, 831"
"010044: ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ","010044","10044",ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ,MARINOY ANTYPA,ΜΑΡ.ΑΝΤΥΠΑ,"750, 831, 856"
"010045: ΠΛ. ΜΑΚΡΥΓΙΑΝΝΗ","010045","10045",ΠΛ. ΜΑΚΡΥΓΙΑΝΝΗ,PL. MAKRYGIANNH,ΗΡΑΚΛΕΙΟΥ,"750, 831, 856"
"010046: ΠΛ. ΜΑΚΡΥΓΙΑΝΝΗ","010046","10046",ΠΛ. ΜΑΚΡΥΓΙΑΝΝΗ,PL. MAKRYGIANNH,ΗΡΑΚΛΕΙΟΥ,"831, 837"
"010047: ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ","010047","10047",ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ,MARINOY ANTYPA,ΜΑΡ.ΑΝΤΥΠΑ,"750, 831, 837, 856"
"010048: ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ","010048","10048",ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ,APOSTOLOY PAYLOY,ΚΟΡΥΔΑΛΛΟΥ,"750, 856"
"010049: ΣΙΦΝΟΥ","010049","10049",ΣΙΦΝΟΥ,SIFNOY,ΜΑΡ.ΑΝΤΥΠΑ,"750, 831, 856"
"010053: ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ","010053","10053",ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ,APOSTOLOY PAYLOY,ΚΟΡΥΔΑΛΛΟΥ,"750, 856"
"010054: ΣΤΕΦ. ΣΑΡΑΦΗ","010054","10054",ΣΤΕΦ. ΣΑΡΑΦΗ,STEF. SARAFH,ΣΤΕΦ.ΣΑΡΑΦΗ,"830"
"010056: ΓΕΦΥΡΑ","010056","10056",ΓΕΦΥΡΑ,GEFYRA,ΣΤΕΦ.ΣΑΡΑΦΗ,"837"
"010057: ΚΥΠΡΟΥ","010057","10057",ΚΥΠΡΟΥ,KYPROY,ΚΥΠΡΟΥ,"837"
"010058: ΑΣΤΥΝΟΜΙΑ","010058","10058",ΑΣΤΥΝΟΜΙΑ,ASTYNOMIA,ΣΤΕΦ.ΣΑΡΑΦΗ,"830, 837"
"010060: ΑΣΤΟΡΙΑ","010060","10060",ΑΣΤΟΡΙΑ,ASTORIA,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,"830, 837"
"010062: ΛΥΚΟΥΡΓΟΥ","010062","10062",ΛΥΚΟΥΡΓΟΥ,LYKOYRGOY,ΛΥΚΟΥΡΓΟΥ,"830"
"010065: ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ","010065","10065",ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ,MEG. ALEXANDROY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,"830"
"010066: ΔΙΑΚΟΥ","010066","10066",ΔΙΑΚΟΥ,DIAKOY,ΠΑΠΑΔΙΑΜΑΝΤΗ,"830, 837"
"010067: ΧΙΟΥ","010067","10067",ΧΙΟΥ,XIOY,ΧΙΟΥ,"830"
"010069: ΚΟΥΝΤΟΥΡΙΩΤΗ","010069","10069",ΚΟΥΝΤΟΥΡΙΩΤΗ,KOYNTOYRIOTH,ΣΤΕΦ.ΣΑΡΑΦΗ,"837"
"010070: ΠΡΟΦ. ΗΛΙΑΣ","010070","10070",ΠΡΟΦ. ΗΛΙΑΣ,PROF. HLIAS,ΠΑΠΑΔΙΑΜΑΝΤΗ,"830, 837"
"010071: ΧΙΟΥ","010071","10071",ΧΙΟΥ,XIOY,ΟΔΥΣΣΕΩΣ,"837"
"010072: ΠΡΟΦ. ΗΛΙΑΣ","010072","10072",ΠΡΟΦ. ΗΛΙΑΣ,PROF. HLIAS,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,"830"
"010074: ΣΩΚΡΑΤΟΥΣ","010074","10074",ΣΩΚΡΑΤΟΥΣ,SOKRATOYS,ΔΕΛΗΓΙΑΝΝΗ,"830"
"010075: ΑΘ. ΔΙΑΚΟΥ","010075","10075",ΑΘ. ΔΙΑΚΟΥ,ATH. DIAKOY,ΖΩΟΔΟΧΟΥ ΠΗΓΗΣ,"830, 837"
"010078: ΠΑΡΚΟ ΕΛΕΝΗΣ ΦΩΚΑ","010078","10078",ΠΑΡΚΟ ΕΛΕΝΗΣ ΦΩΚΑ,PARKO ELENHS FOKA,ΧΑΝΙΩΝ,"400, 750, 806, 807, 830, 831"
"010079: 7η ΚΟΡΥΔΑΛΛΟΥ","010079","10079",7η ΚΟΡΥΔΑΛΛΟΥ,7th KORYDALLOY,ΧΑΝΙΩΝ,"806, 807"
"010081: ΚΡΗΤΗ","010081","10081",ΚΡΗΤΗ,KRHTH,ΚΡΗΤΗΣ,"830, 837"
"010085: ΣΤ. ΑΓ. ΜΑΡΙΝΑ","010085","10085",ΣΤ. ΑΓ. ΜΑΡΙΝΑ,ST. AG. MARINA,ΙΕΡΑΣ ΟΔΟΥ,"400, 803, 836, 837, 866, 876, 891, 892"
"010086: ΑΦΕΤΗΡΙΑ","010086","10086",ΑΦΕΤΗΡΙΑ,AFETHRIA,ΣΙΦΝΟΥ,"750"
"010087: ΚΥΠΡΟΥ","010087","10087",ΚΥΠΡΟΥ,KYPROY,ΧΙΟΥ,"837"
"0112: ΑΣΗΜΑΚΟΠΟΥΛΟΥ","0112","12160",ΑΣΗΜΑΚΟΠΟΥΛΟΥ,ASHMAKOPOYLOY,,"112"
"012023: ΣΤ. ΣΑΡΑΦΗ (ΠΡΟΣ ΑΓ. ΒΑΡΒΑΡΑ)","012023","10634",ΣΤ. ΣΑΡΑΦΗ (ΠΡΟΣ ΑΓ. ΒΑΡΒΑΡΑ),ST. SARAFH (TO AG. BARBARA),,"837"
"01: ΚΑΙΣΑΡΙΑΝΗ","01","10152",ΚΑΙΣΑΡΙΑΝΗ,KAISARIANH,,"224"
"020004: ΤΕΡΜΑ (ΕΝ. ΕΡΓ. ΠΙΤΣΟΥ)","020004","20004",ΤΕΡΜΑ (ΕΝ. ΕΡΓ. ΠΙΤΣΟΥ),TERMA (EN. ERG. PITSOY),ΑΝΩΝΥΜΟΣ(ΕΜΠΡ.ΕΡΓ.ΠΙΤΣΟΥ),"909"
"020005: ΚΑΠΗ","020005","20005",ΚΑΠΗ,KAPH,ΛΕΩΦ.ΦΛΕΜΙΝΓΚ,"860, 914"
"020006: ΜΕΡΚΟΥΡΗ","020006","20006",ΜΕΡΚΟΥΡΗ,MERKOURH,ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420"
"020008: ΓΕΦΥΡΑ ΠΕΤΡΟΥ ΡΑΛΛΗ","020008","20008",ΓΕΦΥΡΑ ΠΕΤΡΟΥ ΡΑΛΛΗ,GEFYRA PETROY RALLH,ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420"
"020009: ΜΕΛΙΣΣΑ","020009","20009",ΜΕΛΙΣΣΑ,MELISSA,ΘΗΒΩΝ,"703, 801, 803, 828, 831, 845"
"020010: ΟΑΕΔ","020010","20010",ΟΑΕΔ,OAED,ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420"
"020011: 1η ΛΑΧΑΝΑΓΟΡΑ","020011","20011",1η ΛΑΧΑΝΑΓΟΡΑ,1st LAXANAGORA,ΛΕΩΦ.ΓΕΩΡΓ.ΠΑΠΑΝΔΡΕΟΥ,"914"
"020013: ΣΙΔΕΡΑ","020013","20013",ΣΙΔΕΡΑ,SIDERA,ΑΓ.ΙΩΑΝΝΟΥ ΡΕΝΤΗ,"16"
"020014: ΠΟΛΥΚΑΤΟΙΚΙΕΣ","020014","20014",ΠΟΛΥΚΑΤΟΙΚΙΕΣ,POLYKATOIKIES,ΑΓ.ΙΩΑΝΝΟΥ ΡΕΝΤΗ,"16"
"020015: Π. ΤΑΧΥΔΡΟΜΕΙΟ","020015","20015",Π. ΤΑΧΥΔΡΟΜΕΙΟ,P. TAXYDROMEIO,ΑΓ.ΙΩΑΝΝΟΥ ΡΕΝΤΗ,"16"
"020016: ΔΕΛΗΓΙΑΝΝΗ","020016","20016",ΔΕΛΗΓΙΑΝΝΗ,DELHGIANNH,ΑΓ.ΙΩΑΝΝΟΥ ΡΕΝΤΗ,"16"
"020017: ΑΠΟΛΛΩΝ","020017","20017",ΑΠΟΛΛΩΝ,APOLLON,ΑΓ.ΙΩΑΝΝΟΥ ΡΕΝΤΗ,"16"
"020018: ΦΩΛΙΑ - ΑΓ. ΑΝΝΗΣ","020018","20018",ΦΩΛΙΑ - ΑΓ. ΑΝΝΗΣ,FOLIA - AG. ANNHS,ΑΓ.ΑΝΝΗΣ,"838"
"020019: ΒΙΑΝΙΛ","020019","20019",ΒΙΑΝΙΛ,BIANIL,ΑΓ.ΑΝΝΗΣ,"838"
"020020: 2η ΑΓ. ΑΝΝΗΣ","020020","20020",2η ΑΓ. ΑΝΝΗΣ,2nd AG. ANNHS,ΑΓ.ΑΝΝΗΣ,"838"
"020021: ΣΧΟΛΕΙΟ - 3η ΑΓ. ΑΝΝΗΣ","020021","20021",ΣΧΟΛΕΙΟ - 3η ΑΓ. ΑΝΝΗΣ,SXOLEIO - 3rd AG. ANNHS,ΑΓ.ΑΝΝΗΣ,"838"
"020024: ΦΡΑΓΚΟΥ","020024","20024",ΦΡΑΓΚΟΥ,FRAGOY,ΑΓ.ΑΝΝΗΣ,"838, 860, 914"
"020025: ΣΙΔΕΡΑ","020025","20025",ΣΙΔΕΡΑ,SIDERA,ΑΓ.ΙΩΑΝΝΟΥ ΡΕΝΤΗ,"838, 860, 914"
"020026: ΠΕΡΙΚΛΕΟΥΣ","020026","20026",ΠΕΡΙΚΛΕΟΥΣ,PERIKLEOYS,ΛΕΩΦ.ΦΛΕΜΙΝΓΚ,"860, 914"
"020028: ΣΙΔΕΡΑ","020028","20028",ΣΙΔΕΡΑ,SIDERA,ΑΓ.ΙΩΑΝΝΟΥ ΡΕΝΤΗ,"838, 860, 914"
"020029: ΦΡΑΓΚΟΥ","020029","20029",ΦΡΑΓΚΟΥ,FRAGOY,ΑΓ.ΑΝΝΗΣ,"838, 860, 914"
"020032: ΛΕΓΑΚΗ","020032","20032",ΛΕΓΑΚΗ,LEGAKH,ΑΓ.ΑΝΝΗΣ,"838"
"020033: ΣΧΟΛΕΙΟ","020033","20033",ΣΧΟΛΕΙΟ,SXOLEIO,ΑΓ.ΑΝΝΗΣ,"838"
"020034: ΟΛΥΜΠΙΑΚΟΣ","020034","20034",ΟΛΥΜΠΙΑΚΟΣ,OLYMPIAKOS,ΑΓ.ΑΝΝΗΣ,"838"
"020036: ΜΩΡΟΣ","020036","20036",ΜΩΡΟΣ,MOROS,ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420"
"020037: ΛΑΧΑΝΑΓΟΡΑ","020037","20037",ΛΑΧΑΝΑΓΟΡΑ,LAXANAGORA,ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420, 838"
"020038: ΟΣΕ","020038","20038",ΟΣΕ,OSE,ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420, 838"
"020039: ΛΕΓΑΚΗ","020039","20039",ΛΕΓΑΚΗ,LEGAKH,ΣΥΝΔ.ΚΛΑΔΟΥ ΓΕΦ. ΑΓ.ΑΝΝΗΣ,"420, 838"
"020041: ΠΛ. ΡΕΝΤΗ","020041","20041",ΠΛ. ΡΕΝΤΗ,PL. RENTH,ΜΠΙΧΑΚΗ,"838, 860, 914"
"020042: ΣΧΟΛΕΙΟ","020042","20042",ΣΧΟΛΕΙΟ,SXOLEIO,ΠΛ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"860, 914"
"020043: ΚΑΠΗ","020043","20043",ΚΑΠΗ,KAPH,ΛΕΩΦ.ΦΛΕΜΙΝΓΚ,"860, 914"
"020044: ΛΑΧΑΝΑΓΟΡΑ","020044","20044",ΛΑΧΑΝΑΓΟΡΑ,LAXANAGORA,ΠΑΡΑΠΛΕΥΡΟΣ ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420"
"020045: ΓΕΦΥΡΑ","020045","20045",ΓΕΦΥΡΑ,GEFYRA,ΑΘΗΝΩΝ-ΠΕΙΡΑΙΩΣ,"049, 420, 860, 914"
"020046: ΙΟΝ","020046","20046",ΙΟΝ,ION,ΑΘΗΝΩΝ-ΠΕΙΡΑΙΩΣ,"049, 420"
"020047: ΑΓ. ΠΑΥΛΟΣ","020047","20047",ΑΓ. ΠΑΥΛΟΣ,AG. PAYLOS,ΘΗΒΩΝ,"703, 801, 803, 828, 831, 845"
"020048: ΦΟΥΡΝΟΣ","020048","20048",ΦΟΥΡΝΟΣ,FOYRNOS,ΘΗΒΩΝ,"703, 801, 803, 828, 831, 845"
"020049: ΚΕΡΑΝΗΣ","020049","20049",ΚΕΡΑΝΗΣ,KERANHS,ΘΗΒΩΝ,"703, 801, 803, 828, 831, 845, 860"
"020050: ΜΕΘΕΝΙΤΗ","020050","20050",ΜΕΘΕΝΙΤΗ,METHENITH,ΘΗΒΩΝ,"703, 801, 803, 828, 831, 845, 860"
"020052: ΠΛΑΣΤΙΓΓΕΣ","020052","20052",ΠΛΑΣΤΙΓΓΕΣ,PLASTIGGES,ΘΗΒΩΝ,"703, 801, 803, 845"
"020053: ΥΠΟΥΡΓΕΙΟ","020053","20053",ΥΠΟΥΡΓΕΙΟ,YPOYRGEIO,ΘΗΒΩΝ,"703, 801, 803, 845, 909"
"020054: Γ ΝΕΚΡΟΤΑΦΕΙΟ","020054","20054",Γ ΝΕΚΡΟΤΑΦΕΙΟ,3rd NEKROTAFEIO,ΘΗΒΩΝ,"703, 801, 803, 845, 909"
"020055: ΦΙΞ","020055","20055",ΦΙΞ,FIX,Π.ΡΑΛΛΗ,"21"
"020056: ΚΑΝ-ΚΑΝ","020056","20056",ΚΑΝ-ΚΑΝ,KAN-KAN,Π.ΡΑΛΛΗ,"21"
"020058: ΕΡΓΑΤΙΚΕΣ ΠΟΛΥΚΑΤΟΙΚΙΕΣ","020058","20058",ΕΡΓΑΤΙΚΕΣ ΠΟΛΥΚΑΤΟΙΚΙΕΣ,ERGATIKES KATOIKIES,Π.ΡΑΛΛΗ,"21"
"020059: ΠΛ. ΡΕΝΤΗ","020059","20059",ΠΛ. ΡΕΝΤΗ,PL. RENTH,ΑΡ.ΚΑΜΠΑΝΗ,"16"
"020061: 1η ΜΑΚΡΥΓΙΑΝΝΗ","020061","20061",1η ΜΑΚΡΥΓΙΑΝΝΗ,1st MAKRYGIANNH,ΜΑΚΡΥΓΙΑΝΝΗ,"838, 914"
"020062: 2η ΛΑΧΑΝΑΓΟΡΑ","020062","20062",2η ΛΑΧΑΝΑΓΟΡΑ,2nd LAXANAGORA,ΤΖΩΝ ΚΕΝΝΕΝΤΥ,"914"
"020063: ΑΡΑΠΗ","020063","20063",ΑΡΑΠΗ,ARAPH,ΑΓ.ΑΝΝΗΣ,"838, 860, 914"
"020065: ΠΥΡΟΣΒΕΣΤΙΚΗ","020065","20065",ΠΥΡΟΣΒΕΣΤΙΚΗ,PYROSBESTIKH,ΜΑΚΡΥΓΙΑΝΝΗ,"838, 860, 914"
"020067: 1η ΜΑΚΡΥΓΙΑΝΝΗ","020067","20067",1η ΜΑΚΡΥΓΙΑΝΝΗ,1st MAKRYGIANNH,ΜΑΚΡΥΓΙΑΝΝΗ,"838, 914"
"020068: 2η ΜΑΚΡΥΓΙΑΝΝΗ","020068","20068",2η ΜΑΚΡΥΓΙΑΝΝΗ,2nd MAKRYGIANNH,ΜΑΚΡΥΓΙΑΝΝΗ,"838, 914"
"020069: ΠΥΡΟΣΒΕΣΤΙΚΗ","020069","20069",ΠΥΡΟΣΒΕΣΤΙΚΗ,PYROSBESTIKH,ΘΕΣΣΑΛΟΝΙΚΗΣ,"838, 860, 914"
"020070: 1η ΘΕΣΣΑΛΟΝΙΚΗΣ","020070","20070",1η ΘΕΣΣΑΛΟΝΙΚΗΣ,1st THESSALONIKHS,ΘΕΣΣΑΛΟΝΙΚΗΣ,"838, 860, 914"
"020071: ΑΡΑΠΗ","020071","20071",ΑΡΑΠΗ,ARAPH,ΑΓ.ΑΝΝΗΣ,"838, 860, 914"
"020073: ΟΣΕ","020073","20073",ΟΣΕ,OSE,ΠΑΡΑΠΛΕΥΡΟΣ ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420"
"020074: ΚΟΤΖΙΑ","020074","20074",ΚΟΤΖΙΑ,KONTZIA,ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420"
"020075: ΔΗΜΗΤΡΑΤΟΥ","020075","20075",ΔΗΜΗΤΡΑΤΟΥ,DHMHTRATOY,ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420"
"020076: ΓΕΦΥΡΑ  ΑΓ. ΑΝΝΗΣ","020076","20076",ΓΕΦΥΡΑ  ΑΓ. ΑΝΝΗΣ,GEFYRA  AG. ANNHS,ΛΕΩΦ.ΚΗΦΙΣΟΥ,"420"
"020078: ΜΑΚΡΥΓΙΑΝΝΗ","020078","20078",ΜΑΚΡΥΓΙΑΝΝΗ,MAKRYGIANNH,ΜΑΚΡΥΓΙΑΝΝΗ,"838, 860, 914"
"020079: ΠΛ. ΕΛ. ΒΕΝΙΖΕΛΟΥ","020079","20079",ΠΛ. ΕΛ. ΒΕΝΙΖΕΛΟΥ,PL. EL. BENIZELOY,ΠΛ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"16, 860, 914"
"020080: ΠΟΛΥΚΑΤΟΙΚΙΕΣ","020080","20080",ΠΟΛΥΚΑΤΟΙΚΙΕΣ,POLYKATOIKIES,ΛΕΩΦ.ΦΛΕΜΙΝΓΚ,"16, 860, 914"
"020081: ΟΑΕΔ","020081","20081",ΟΑΕΔ,OAED,Π.ΡΑΛΛΗ,"21"
"020082: 2η ΜΑΚΡΥΓΙΑΝΝΗ","020082","20082",2η ΜΑΚΡΥΓΙΑΝΝΗ,2nd MAKRYGIANNH,ΜΑΚΡΥΓΙΑΝΝΗ,"838, 914"
"020087: ΠΛ.ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ","020087","20087",ΠΛ.ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ,PL. AG. IOANNH RENTH,ΠΛ.ΑΓ.ΙΩΑΝΝΟΥ ΡΕΝΤΗ,"838, 860, 914"
"020088: ΠΑΛΑΙΟΛΟΓΟΥ","020088","20088",ΠΑΛΑΙΟΛΟΓΟΥ,PALAIOLOGOY,ΠΑΛΑΙΛΟΓΟΥ,"838"
"020089: ΠΕΤΡΟΥ ΡΑΛΛΗ","020089","20089",ΠΕΤΡΟΥ ΡΑΛΛΗ,PETROY RALLH,ΡΕΜΑΤΟΣ ΚΑΝΑΠΙΤΣΕΡΙ,"909"
"020091: ΑΜΑΞΟΣΤΑΣΙΟ","020091","20091",ΑΜΑΞΟΣΤΑΣΙΟ,AMAXOSTASIO,ΠΑΡΝΑΣΣΟΥ,"909"
"020092: ΠΑΡΝΑΣΣΟΥ","020092","20092",ΠΑΡΝΑΣΣΟΥ,PARNASSOY,ΠΑΡΝΑΣΣΟΥ,"909"
"0201: ΕΘΝ. ΑΜΥΝΑ","0201","11154",ΕΘΝ. ΑΜΥΝΑ,ETHN. AMYNA,,"416, 418"
"020860: ΘΗΒΩΝ","020860","20860",ΘΗΒΩΝ,THIVON,ΘΕΣΣΑΛΟΝΙΚΗΣ,"860"
"021: ΣΤΑΥΡΟΣ","021","11649",ΣΤΑΥΡΟΣ,STAYROS,ΣΤΑΥΡΟΣ ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,"308"
"02: ΤΕΡΜΑ ΕΛ. ΒΕΝΙΖΕΛΟΥ","02","10153",ΤΕΡΜΑ ΕΛ. ΒΕΝΙΖΕΛΟΥ,TERMA EL. BENIZELOY,,"224"
"030001: 9η ΜΕΣΟΓΕΙΩΝ","030001","30001",9η ΜΕΣΟΓΕΙΩΝ,9th MESOGEION,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, 400, 406, 407, Α5, Β5"
"030002: ΤΟΜΠΡΑ","030002","30002",ΤΟΜΠΡΑ,TOMPRA,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, 400, Α5"
"030003: 11η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030003","30003",11η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,11th AG. PARASKEYHS,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, 400, Α5"
"030004: 12η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030004","30004",12η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,12th AG. PARASKEYHS,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, 400, Α5, Β5"
"030005: ΠΛ. ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030005","30005",ΠΛ. ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,PL. AG. PARASKEYHS,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, Α5, Χ95"
"030006: ΕΡΤ","030006","30006",ΕΡΤ,ERT,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, Α5"
"030008: ΙΚΑ","030008","30008",ΙΚΑ,IKA,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, Α5"
"030009: ΔΗΜΗΤΡΑΣ","030009","30009",ΔΗΜΗΤΡΑΣ,DHMHTRAS,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, Α5"
"030010: ΓΕΛΑΔΑΚΗ","030010","30010",ΓΕΛΑΔΑΚΗ,GELADAKH,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, Α5"
"030011: ΣΤΑΥΡΟΣ","030011","30011",ΣΤΑΥΡΟΣ,STAYROS,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, Α5"
"030012: ΓΕΛΑΔΑΚΗ","030012","30012",ΓΕΛΑΔΑΚΗ,GELADAKH,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, Α5"
"030013: ΔΗΜΗΤΡΑΣ","030013","30013",ΔΗΜΗΤΡΑΣ,DHMHTRAS,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, Α5"
"030014: ΙΚΑ","030014","30014",ΙΚΑ,IKA,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, Α5"
"030015: ΣΑΛΑΜΙΝΟΣ","030015","30015",ΣΑΛΑΜΙΝΟΣ,SALAMINOS,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, Α5"
"030016: ΚΕΑΣ","030016","30016",ΚΕΑΣ,KEAS,ΑΛΕΞ.ΠΑΝΑΓΟΥΛΗ,"301, 301Β, 302, 307, 314, 319"
"030017: ΠΛ. ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030017","30017",ΠΛ. ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,PL. AG. PARASKEYHS,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, 400, Α5, Χ95"
"030018: 4η ΔΕΡΒΕΝΑΚΙΩΝ","030018","30018",4η ΔΕΡΒΕΝΑΚΙΩΝ,4th DERBENAKION,ΔΕΡΒΕΝΑΚΙΩΝ,"406"
"030019: 11η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030019","30019",11η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,11th AG. PARASKEYHS,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, 400, Α5"
"030020: ΤΟΜΠΡΑ","030020","30020",ΤΟΜΠΡΑ,TOMPRA,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, 400, 406, 407, Α5, Β5"
"030021: 9η ΜΕΣΟΓΕΙΩΝ","030021","30021",9η ΜΕΣΟΓΕΙΩΝ,9th MESOGEION,ΜΕΣΟΓΕΙΩΝ,"304, 305, 308, 316, 400, 406, 407, Α5, Β5"
"030022: ΤΟΜΠΡΑ","030022","30022",ΤΟΜΠΡΑ,TOMPRA,ΗΠΕΙΡΟΥ,"406, 407, Β5"
"030023: 1η ΑΓ.ΠΑΡΑΣΚΕΥΗΣ","030023","30023",1η ΑΓ.ΠΑΡΑΣΚΕΥΗΣ,1st AG. PARASKEYHS,ΕΛ.ΒΕΝΙΖΕΛΟΥ,"406, 407, Β5"
"030024: 2η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030024","30024",2η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,2nd AG. PARASKEYHS,ΕΛ.ΒΕΝΙΖΕΛΟΥ,"406, 407, Β5"
"030025: 3η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030025","30025",3η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,3rd AG. PARASKEYHS,ΕΛ.ΒΕΝΙΖΕΛΟΥ,"406, 407, Β5"
"030026: ΔΗΜΟΚΡΙΤΟΣ","030026","30026",ΔΗΜΟΚΡΙΤΟΣ,DHMOKRITOS,ΠΑΤΡΙΑΡΧΟΥ ΓΡΗΓΟΡΙΟΥ Ε',"406, 407, Β5"
"030027: 5η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030027","30027",5η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,5th AG. PARASKEYHS,ΠΕΛΟΠΟΝΝΗΣΟΥ,"406, 407, Β5"
"030028: 6η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030028","30028",6η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,6th AG. PARASKEYHS,ΠΕΛΟΠΟΝΝΗΣΟΥ,"406, 407, Β5"
"030029: 7η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030029","30029",7η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,7th AG. PARASKEYHS,ΠΕΛΟΠΟΝΝΗΣΟΥ,"406, 407, Β5"
"030030: 8η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030030","30030",8η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,8th AG. PARASKEYHS,ΕΛΒΕΤΙΑΣ,"406, 407"
"030031: 9η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","030031","30031",9η ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,9th AG. PARASKEYHS,ΕΛΒΕΤΙΑΣ,"406, 407"
"030032: 3η ΕΙΡΗΝΗΣ","030032","30032",3η ΕΙΡΗΝΗΣ,3rd EIRHNHS,ΕΙΡΗΝΗΣ,Β5
"030033: 2η ΕΙΡΗΝΗΣ","030033","30033",2η ΕΙΡΗΝΗΣ,2nd EIRHNHS,ΕΙΡΗΝΗΣ,Β5
"030034: 1η ΕΙΡΗΝΗΣ","030034","30034",1η ΕΙΡΗΝΗΣ,1st EIRHNHS,ΕΙΡΗΝΗΣ,Β5
"030035: ΑΓ. ΠΑΡΑΣΚΕΥΗ","030035","30035",ΑΓ. ΠΑΡΑΣΚΕΥΗ,AG. PARASKEYH,ΑΓ.ΙΩΑΝΝΟΥ,"406, Β5"
